Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
11-NOV-2024,24087.25,24336.8,24004.6,24141.3,273370562,26600.28
12-NOV-2024,24225.8,24242,23839.15,23883.45,255825829,26852.73
13-NOV-2024,23822.45,23873.6,23509.6,23559.05,304569316,27765.81
14-NOV-2024,23542.15,23675.9,23484.15,23532.7,257708474,24814.37
18-NOV-2024,23605.3,23606.8,23350.4,23453.8,263311912,25257.33
19-NOV-2024,23529.55,23780.65,23464.8,23518.5,297477279,30486.78
21-NOV-2024,23488.45,23507.3,23263.15,23349.9,420332354,40900.89
22-NOV-2024,23411.8,23956.1,23359,23907.25,367562789,39257.52
25-NOV-2024,24253.55,24351.55,24135.45,24221.9,687172787,85975.81
26-NOV-2024,24343.3,24343.3,24125.4,24194.5,230691771,24140.67
27-NOV-2024,24204.8,24354.55,24145.65,24274.9,295011445,31149.09
28-NOV-2024,24274.15,24345.75,23873.35,23914.15,366745300,41198.27
29-NOV-2024,23927.15,24188.45,23927.15,24131.1,282104071,30509.98
02-DEC-2024,24140.85,24301.7,24008.65,24276.05,220384187,23162.75
03-DEC-2024,24367.5,24481.35,24280,24457.15,339470947,34228.3
04-DEC-2024,24488.75,24573.2,24366.3,24467.45,348003156,34639.78
05-DEC-2024,24539.15,24857.75,24295.55,24708.4,361469920,40471.33
06-DEC-2024,24729.45,24751.05,24620.5,24677.8,226731303,23904.13
09-DEC-2024,24633.9,24705,24580.05,24619,248139308,25099.79
