Date,Adj Close,Close,High,Low,Open,Volume
01-01-20,1828.5,1828.5,1867,1820,1849.699951,429407
02-01-20,1824.199951,1824.199951,1854.849976,1815,1831,459356
03-01-20,1843.550049,1843.550049,1853,1827,1827,394268
06-01-20,1789.900024,1789.900024,1829,1780,1827,398623
07-01-20,1815.75,1815.75,1837.5,1805,1805,459172
08-01-20,1829.050049,1829.050049,1837.050049,1785.099976,1793,352087
09-01-20,1880.550049,1880.550049,1904,1826.599976,1850,1572364
10-01-20,1876.949951,1876.949951,1897.900024,1865.099976,1886,697206
13-01-20,1914.650024,1914.650024,1940.150024,1880,1925,2138099
14-01-20,1930.75,1930.75,1940,1892.150024,1902,1407288
15-01-20,1933.550049,1933.550049,1946,1920.050049,1938,551142
16-01-20,1946.050049,1946.050049,1951.449951,1922,1938.699951,521815
17-01-20,1990.550049,1990.550049,2000,1932.400024,1948,887334
20-01-20,1936.650024,1936.650024,2004.449951,1927,2000,467366
21-01-20,1912.349976,1912.349976,1959.550049,1901.900024,1930,321554
22-01-20,1914.699951,1914.699951,1932,1907.599976,1930,283551
23-01-20,1924.699951,1924.699951,1929.050049,1910.099976,1920,203734
24-01-20,1948.599976,1948.599976,1961.099976,1918.150024,1927.050049,404536
27-01-20,1951.5,1951.5,1961.5,1928.099976,1945.5,306182
28-01-20,1930.449951,1930.449951,1958,1922.199951,1944.699951,198741
29-01-20,1974.650024,1974.650024,1984.25,1928,1932,481606
30-01-20,2051.300049,2051.300049,2064,1977.800049,1977.800049,1640477
31-01-20,2133.949951,2133.949951,2145.050049,2061,2064.050049,1572997
03-02-20,2131.649902,2131.649902,2157.699951,2081,2084,730661
04-02-20,2155.300049,2155.300049,2172.899902,2112,2145,601931
05-02-20,2248.899902,2248.899902,2274,2160,2160,1100397
06-02-20,2294.350098,2294.350098,2360,2255,2255,1760624
07-02-20,2287.199951,2287.199951,2330,2270,2295,917281
10-02-20,2483.649902,2483.649902,2537.449951,2287.199951,2287.199951,2504235
11-02-20,2394.5,2394.5,2480,2381,2480,1890047
12-02-20,2482.149902,2482.149902,2526,2380,2390,2099102
13-02-20,2544.149902,2544.149902,2560,2442.800049,2478,2369901
14-02-20,2408.350098,2408.350098,2499,2373,2440,4717819
17-02-20,2339.449951,2339.449951,2379.300049,2330.050049,2354.5,3097697
18-02-20,2364.899902,2364.899902,2384.600098,2305.050049,2334.949951,2017080
19-02-20,2424.5,2424.5,2437,2372.100098,2385,1759543
20-02-20,2462.649902,2462.649902,2485,2430,2433,1359803
24-02-20,2389.699951,2389.699951,2448.800049,2370,2448.800049,651480
25-02-20,2331.75,2331.75,2429,2308,2399,1007451
26-02-20,2358.399902,2358.399902,2419,2305.050049,2326.850098,1302206
27-02-20,2319.699951,2319.699951,2370,2310,2347.300049,727447
28-02-20,2323.949951,2323.949951,2377.350098,2180,2279.899902,1813565
02-03-20,2228.949951,2228.949951,2340,2220,2335,2050214
03-03-20,2233.050049,2233.050049,2274,2172.949951,2228,1252459
04-03-20,2198.449951,2198.449951,2270,2150,2260,443605
05-03-20,2247.199951,2247.199951,2252,2150,2200,363292
06-03-20,2242.149902,2242.149902,2250,2136.100098,2174.899902,581223
09-03-20,2145.699951,2145.699951,2200,2130.050049,2185,461400
11-03-20,2109.949951,2109.949951,2223.300049,2075,2146.800049,298466
12-03-20,2004.5,2004.5,2049,2004.5,2049,497643
13-03-20,2101,2101,2104.699951,1904.300049,1904.300049,1163341
16-03-20,1996.300049,1996.300049,2095,1995.949951,1995.949951,588564
17-03-20,2021.949951,2021.949951,2096.100098,1912,1945,609788
18-03-20,1920.900024,1920.900024,2060,1920.900024,2050.100098,702064
19-03-20,1824.900024,1824.900024,1840,1824.900024,1824.900024,665388
20-03-20,1916.099976,1916.099976,1916.099976,1733.699951,1790,505707
23-03-20,1820.300049,1820.300049,1900,1820.300049,1820.300049,358447
24-03-20,1808.699951,1808.699951,1900,1729.300049,1838,547216
25-03-20,1899.099976,1899.099976,1899.099976,1760.199951,1798.699951,475433
26-03-20,1994.050049,1994.050049,1994.050049,1950,1980,315196
27-03-20,2079.699951,2079.699951,2093.75,2051,2087.75,344155
30-03-20,2114.550049,2114.550049,2183,1975.75,2079.699951,321246
31-03-20,2187.5,2187.5,2220.25,2150,2180,331328
01-04-20,2082.699951,2082.699951,2230,2078.149902,2218,272199
03-04-20,2066.949951,2066.949951,2119,2020,2101.5,303207
07-04-20,2170.25,2170.25,2170.25,2090.100098,2090.100098,219469
08-04-20,2278.75,2278.75,2278.75,2201.050049,2222,153350
09-04-20,2392.649902,2392.649902,2392.649902,2392.649902,2392.649902,231081
13-04-20,2273.050049,2273.050049,2320,2273.050049,2320,272319
15-04-20,2180.899902,2180.899902,2320,2159.399902,2161,634856
16-04-20,2137.850098,2137.850098,2210,2104.899902,2151,393226
17-04-20,2212.100098,2212.100098,2230,2200,2214,292020
20-04-20,2256.25,2256.25,2285,2150.050049,2229.949951,274755
21-04-20,2238.199951,2238.199951,2288.5,2199.449951,2200,205854
22-04-20,2290.050049,2290.050049,2320,2225,2235,231894
23-04-20,2303.5,2303.5,2350,2290.050049,2290.050049,182395
24-04-20,2310.5,2310.5,2346.5,2269.449951,2299.449951,586416
27-04-20,2323.949951,2323.949951,2350,2274,2300,198321
28-04-20,2305.800049,2305.800049,2340,2285,2339,858549
29-04-20,2344.350098,2344.350098,2350,2305.800049,2310,120879
30-04-20,2383.649902,2383.649902,2389.75,2325,2349,619337
04-05-20,2281.300049,2281.300049,2345,2269.949951,2310.199951,234634
05-05-20,2198.949951,2198.949951,2329.949951,2185.300049,2320,183052
06-05-20,2175.600098,2175.600098,2249,2126.550049,2200,292523
07-05-20,2182.100098,2182.100098,2210.300049,2144,2180,287428
08-05-20,2255,2255,2284,2185,2190,247823
11-05-20,2313.550049,2313.550049,2358,2270,2280,279514
12-05-20,2303.350098,2303.350098,2347,2286.899902,2320.550049,277597
13-05-20,2352.149902,2352.149902,2379.949951,2305,2353,373230
14-05-20,2324.399902,2324.399902,2358,2304,2344.350098,344409
15-05-20,2333.800049,2333.800049,2340,2290.25,2320,181711
18-05-20,2306.550049,2306.550049,2370.800049,2275,2333,293737
19-05-20,2337.5,2337.5,2355.600098,2306,2341.949951,254048
20-05-20,2454.350098,2454.350098,2454.350098,2318,2335,374829
21-05-20,2470.25,2470.25,2519.949951,2375,2452,359114
22-05-20,2398.300049,2398.300049,2518,2381.5,2484.800049,388436
26-05-20,2283.25,2283.25,2340,2278.399902,2339,773046
27-05-20,2200.199951,2200.199951,2275,2176,2222.199951,751860
28-05-20,2308.449951,2308.449951,2310.199951,2205,2210,927241
29-05-20,2269.350098,2269.350098,2358,2229,2330,3799418
01-06-20,2305.5,2305.5,2328.550049,2282.649902,2320.100098,448570
02-06-20,2381.699951,2381.699951,2389,2290.050049,2309.100098,502878
