Date,Forecast,Lower_CI,Upper_CI
2024-12-10,24753.809616453,24440.36311155552,25067.256121350478
2024-12-11,24816.73877755021,24327.030050480902,25306.44750461952
2024-12-12,24710.250458319184,24063.60393095933,25356.89698567904
2024-12-13,24681.38186813474,23886.360477906717,25476.403258362763
2024-12-16,24823.21376746272,23896.74939667205,25749.678138253388
2024-12-17,24895.34146453678,23870.46188074498,25920.22104832858
2024-12-18,25062.09957487564,23935.017851581022,26189.181298170257
2024-12-19,25075.70506619312,23844.11989553007,26307.29023685617
2024-12-20,25138.38252385625,23805.62731732213,26471.13773039037
2024-12-23,25299.296188128235,23870.303654599607,26728.288721656863
2024-12-24,25368.385526334845,23834.139679933214,26902.631372736476
2024-12-25,25567.273928257768,23907.169726387274,27227.37813012826
2024-12-26,25594.201814699125,23803.18325065756,27385.22037874069
2024-12-27,25804.837580730913,23880.519253200953,27729.155908260873
2024-12-30,25899.964361937866,23850.79175232027,27949.13697155546
