Price,Adj Close,Close,High,Low,Open,Volume
,NDTV.NS,NDTV.NS,NDTV.NS,NDTV.NS,NDTV.NS,NDTV.NS
Date,,,,,,
01-01-24,275.7999878,275.7999878,281.75,261,261,1526570
02-01-24,272.2000122,272.2000122,277,267.1000061,275.7999878,861663
03-01-24,281.7999878,281.7999878,302.5,277.2999878,282,12022754
04-01-24,281.75,281.75,289,281,283.9500122,1286710
05-01-24,280.8999939,280.8999939,286,278,281.8999939,1032008
08-01-24,278.7000122,278.7000122,289.5,275,280,1729334
09-01-24,279.7999878,279.7999878,286.5,278.1000061,280.2000122,949402
10-01-24,288.5,288.5,298,277.5,281,4340323
11-01-24,288.2000122,288.2000122,294.2999878,284,292,1079779
12-01-24,287.2000122,287.2000122,290.1499939,285.6499939,289.7000122,580178
15-01-24,281.5499878,281.5499878,289.7999878,280,288.5,525364
16-01-24,274.6499939,274.6499939,282,270.0499878,281.3999939,756383
17-01-24,266.0499878,266.0499878,274.5,263,263,833087
18-01-24,268.8999939,268.8999939,272.5,260.8500061,266.5,722716
19-01-24,267.75,267.75,272.8500061,266.75,270,457998
23-01-24,262.8999939,262.8999939,279,260.7999878,279,650446
24-01-24,264.25,264.25,267.4500122,258.8500061,263.7999878,453770
25-01-24,277.7999878,277.7999878,279.6000061,263.2999878,265.3999939,1040543
29-01-24,277.7999878,277.7999878,286.5,274.6499939,278.1499939,1220554
30-01-24,276.3500061,276.3500061,285,272.5,279,743955
31-01-24,270.7000122,270.7000122,275.5,265.5,268,779861
01-02-24,271.3999939,271.3999939,276.7999878,267.3500061,271.1499939,679349
02-02-24,268.4500122,268.4500122,274.9500122,267.1499939,274.1499939,618593
05-02-24,260.8500061,260.8500061,269.75,258,268.75,466148
06-02-24,267.3999939,267.3999939,270.75,258.4500122,262.8999939,608513
07-02-24,271.5,271.5,279,268.3999939,269.8999939,1011602
08-02-24,268.5499878,268.5499878,274.8500061,266.75,272.4500122,288092
09-02-24,266.75,266.75,273.8999939,260.7999878,269.8500061,612873
